Score,Text,Tokens,Preprocessed_Text
5,i have bought several of the vitality canned dog food products and have found them all to be of good quality the product looks more like a stew than a processed meat and it smells better my labrador is finicky and she appreciates this product better than most,"['i', 'have', 'bought', 'several', 'of', 'the', 'vitality', 'canned', 'dog', 'food', 'product', 'and', 'have', 'found', 'them', 'all', 'to', 'be', 'of', 'good', 'quality', 'the', 'product', 'look', 'more', 'like', 'a', 'stew', 'than', 'a', 'processed', 'meat', 'and', 'it', 'smell', 'better', 'my', 'labrador', 'is', 'finicky', 'and', 'she', 'appreciates', 'this', 'product', 'better', 'than', 'most']",i have bought several of the vitality canned dog food product and have found them all to be of good quality the product look more like a stew than a processed meat and it smell better my labrador is finicky and she appreciates this product better than most
1,product arrived labeled as jumbo salted peanutsthe peanuts were actually small sized unsalted not sure if this was an error or if the vendor intended to represent the product as jumbo,"['product', 'arrived', 'labeled', 'a', 'jumbo', 'salted', 'peanutsthe', 'peanut', 'were', 'actually', 'small', 'sized', 'unsalted', 'not', 'sure', 'if', 'this', 'wa', 'an', 'error', 'or', 'if', 'the', 'vendor', 'intended', 'to', 'represent', 'the', 'product', 'a', 'jumbo']",product arrived labeled a jumbo salted peanutsthe peanut were actually small sized unsalted not sure if this wa an error or if the vendor intended to represent the product a jumbo
4,this is a confection that has been around a few centuries it is a light pillowy citrus gelatin with nuts in this case filberts and it is cut into tiny squares and then liberally coated with powdered sugar and it is a tiny mouthful of heaven not too chewy and very flavorful i highly recommend this yummy treat if you are familiar with the story of cs lewis the lion the witch and the wardrobe this is the treat that seduces edmund into selling out his brother and sisters to the witch,"['this', 'is', 'a', 'confection', 'that', 'ha', 'been', 'around', 'a', 'few', 'century', 'it', 'is', 'a', 'light', 'pillowy', 'citrus', 'gelatin', 'with', 'nut', 'in', 'this', 'case', 'filbert', 'and', 'it', 'is', 'cut', 'into', 'tiny', 'square', 'and', 'then', 'liberally', 'coated', 'with', 'powdered', 'sugar', 'and', 'it', 'is', 'a', 'tiny', 'mouthful', 'of', 'heaven', 'not', 'too', 'chewy', 'and', 'very', 'flavorful', 'i', 'highly', 'recommend', 'this', 'yummy', 'treat', 'if', 'you', 'are', 'familiar', 'with', 'the', 'story', 'of', 'c', 'lewis', 'the', 'lion', 'the', 'witch', 'and', 'the', 'wardrobe', 'this', 'is', 'the', 'treat', 'that', 'seduces', 'edmund', 'into', 'selling', 'out', 'his', 'brother', 'and', 'sister', 'to', 'the', 'witch']",this is a confection that ha been around a few century it is a light pillowy citrus gelatin with nut in this case filbert and it is cut into tiny square and then liberally coated with powdered sugar and it is a tiny mouthful of heaven not too chewy and very flavorful i highly recommend this yummy treat if you are familiar with the story of c lewis the lion the witch and the wardrobe this is the treat that seduces edmund into selling out his brother and sister to the witch
2,if you are looking for the secret ingredient in robitussin i believe i have found it i got this in addition to the root beer extract i ordered which was good and made some cherry soda the flavor is very medicinal,"['if', 'you', 'are', 'looking', 'for', 'the', 'secret', 'ingredient', 'in', 'robitussin', 'i', 'believe', 'i', 'have', 'found', 'it', 'i', 'got', 'this', 'in', 'addition', 'to', 'the', 'root', 'beer', 'extract', 'i', 'ordered', 'which', 'wa', 'good', 'and', 'made', 'some', 'cherry', 'soda', 'the', 'flavor', 'is', 'very', 'medicinal']",if you are looking for the secret ingredient in robitussin i believe i have found it i got this in addition to the root beer extract i ordered which wa good and made some cherry soda the flavor is very medicinal
5,great taffy at a great price there was a wide assortment of yummy taffy delivery was very quick if your a taffy lover this is a deal,"['great', 'taffy', 'at', 'a', 'great', 'price', 'there', 'wa', 'a', 'wide', 'assortment', 'of', 'yummy', 'taffy', 'delivery', 'wa', 'very', 'quick', 'if', 'your', 'a', 'taffy', 'lover', 'this', 'is', 'a', 'deal']",great taffy at a great price there wa a wide assortment of yummy taffy delivery wa very quick if your a taffy lover this is a deal
4,i got a wild hair for taffy and ordered this five pound bag the taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc my only complaint is there was a bit too much redblack licoriceflavored pieces just not my particular favorites between me my kids and my husband this lasted only two weeks i would recommend this brand of taffy it was a delightful treat,"['i', 'got', 'a', 'wild', 'hair', 'for', 'taffy', 'and', 'ordered', 'this', 'five', 'pound', 'bag', 'the', 'taffy', 'wa', 'all', 'very', 'enjoyable', 'with', 'many', 'flavor', 'watermelon', 'root', 'beer', 'melon', 'peppermint', 'grape', 'etc', 'my', 'only', 'complaint', 'is', 'there', 'wa', 'a', 'bit', 'too', 'much', 'redblack', 'licoriceflavored', 'piece', 'just', 'not', 'my', 'particular', 'favorite', 'between', 'me', 'my', 'kid', 'and', 'my', 'husband', 'this', 'lasted', 'only', 'two', 'week', 'i', 'would', 'recommend', 'this', 'brand', 'of', 'taffy', 'it', 'wa', 'a', 'delightful', 'treat']",i got a wild hair for taffy and ordered this five pound bag the taffy wa all very enjoyable with many flavor watermelon root beer melon peppermint grape etc my only complaint is there wa a bit too much redblack licoriceflavored piece just not my particular favorite between me my kid and my husband this lasted only two week i would recommend this brand of taffy it wa a delightful treat
5,this saltwater taffy had great flavors and was very soft and chewy each candy was individually wrapped well none of the candies were stuck together which did happen in the expensive version fralingers would highly recommend this candy i served it at a beachthemed party and everyone loved it,"['this', 'saltwater', 'taffy', 'had', 'great', 'flavor', 'and', 'wa', 'very', 'soft', 'and', 'chewy', 'each', 'candy', 'wa', 'individually', 'wrapped', 'well', 'none', 'of', 'the', 'candy', 'were', 'stuck', 'together', 'which', 'did', 'happen', 'in', 'the', 'expensive', 'version', 'fralingers', 'would', 'highly', 'recommend', 'this', 'candy', 'i', 'served', 'it', 'at', 'a', 'beachthemed', 'party', 'and', 'everyone', 'loved', 'it']",this saltwater taffy had great flavor and wa very soft and chewy each candy wa individually wrapped well none of the candy were stuck together which did happen in the expensive version fralingers would highly recommend this candy i served it at a beachthemed party and everyone loved it
5,this taffy is so good it is very soft and chewy the flavors are amazing i would definitely recommend you buying it very satisfying,"['this', 'taffy', 'is', 'so', 'good', 'it', 'is', 'very', 'soft', 'and', 'chewy', 'the', 'flavor', 'are', 'amazing', 'i', 'would', 'definitely', 'recommend', 'you', 'buying', 'it', 'very', 'satisfying']",this taffy is so good it is very soft and chewy the flavor are amazing i would definitely recommend you buying it very satisfying
5,right now im mostly just sprouting this so my cats can eat the grass they love it i rotate it around with wheatgrass and rye too,"['right', 'now', 'im', 'mostly', 'just', 'sprouting', 'this', 'so', 'my', 'cat', 'can', 'eat', 'the', 'grass', 'they', 'love', 'it', 'i', 'rotate', 'it', 'around', 'with', 'wheatgrass', 'and', 'rye', 'too']",right now im mostly just sprouting this so my cat can eat the grass they love it i rotate it around with wheatgrass and rye too
5,this is a very healthy dog food good for their digestion also good for small puppies my dog eats her required amount at every feeding,"['this', 'is', 'a', 'very', 'healthy', 'dog', 'food', 'good', 'for', 'their', 'digestion', 'also', 'good', 'for', 'small', 'puppy', 'my', 'dog', 'eats', 'her', 'required', 'amount', 'at', 'every', 'feeding']",this is a very healthy dog food good for their digestion also good for small puppy my dog eats her required amount at every feeding
